fecha,codigosucursal,codigovariable,valor
22/03/2018,6,24,1.00
22/03/2018,6,25,3.00
22/03/2018,6,26,0.00
22/03/2018,6,27,0.00
22/03/2018,6,28,0.00
22/03/2018,6,29,1.00
22/03/2018,6,30,0.00
22/03/2018,6,31,1.00
22/03/2018,6,32,0.00
22/03/2018,6,33,0.00
22/03/2018,6,34,0.00
22/03/2018,6,35,0.00
22/03/2018,6,36,1.00
22/03/2018,6,37,0.00
22/03/2018,6,38,2.00
22/03/2018,6,39,0.00
22/03/2018,6,40,4.00
22/03/2018,7,1,638575.72
22/03/2018,7,2,108.00
22/03/2018,7,3,5912.74
22/03/2018,7,4,145.00
22/03/2018,7,5,67.25
22/03/2018,7,6,290.26
22/03/2018,7,7,0.45
22/03/2018,7,8,13.00
22/03/2018,7,9,56446.23
22/03/2018,7,10,2.00
22/03/2018,7,11,315.00
22/03/2018,7,12,493787.28
22/03/2018,7,13,9.38
22/03/2018,7,14,5878.42
22/03/2018,7,15,469635.10
22/03/2018,7,16,9.00
22/03/2018,7,17,25514.27
22/03/2018,7,18,0.03
22/03/2018,7,19,0.00
22/03/2018,7,20,2.00
22/03/2018,7,21,2.00
22/03/2018,7,22,4.00
22/03/2018,7,23,1.00
22/03/2018,7,24,9.00
22/03/2018,7,25,11.00
22/03/2018,7,26,3.00
22/03/2018,7,27,1.00
22/03/2018,7,28,1.00
22/03/2018,7,29,0.00
22/03/2018,7,30,2.00
22/03/2018,7,31,5.00
22/03/2018,7,32,1.00
22/03/2018,7,33,0.00
22/03/2018,7,34,4.00
22/03/2018,7,35,5.00
22/03/2018,7,36,11.00
22/03/2018,7,37,11.00
22/03/2018,7,38,6.00
22/03/2018,7,39,0.00
22/03/2018,7,40,4.00
22/03/2018,8,1,139874.28
22/03/2018,8,2,44.00
22/03/2018,8,3,3178.96
22/03/2018,8,4,54.00
22/03/2018,8,5,57.87
22/03/2018,8,6,174.84
22/03/2018,8,7,0.29
22/03/2018,8,8,6.00
22/03/2018,8,9,20997.91
22/03/2018,8,10,2.00
22/03/2018,8,11,73.00
22/03/2018,8,12,0.00
22/03/2018,8,13,0.00
22/03/2018,8,14,0.00
22/03/2018,8,15,98610.91
22/03/2018,8,16,1.00
22/03/2018,8,17,208.09
22/03/2018,8,18,0.01
22/03/2018,8,19,0.00
22/03/2018,8,20,0.00
22/03/2018,8,21,0.00
22/03/2018,8,22,1.00
22/03/2018,8,23,1.00
22/03/2018,8,24,4.00
22/03/2018,8,25,2.00
22/03/2018,8,26,1.00
22/03/2018,8,27,0.00
22/03/2018,8,28,1.00
22/03/2018,8,29,1.00
22/03/2018,8,30,0.00
22/03/2018,8,31,0.00
22/03/2018,8,32,1.00
22/03/2018,8,33,0.00
22/03/2018,8,34,0.00
22/03/2018,8,35,1.00
22/03/2018,8,36,0.00
22/03/2018,8,37,0.00
22/03/2018,8,38,1.00
22/03/2018,8,39,0.00
22/03/2018,8,40,0.00
22/03/2018,9,1,538530.33
22/03/2018,9,2,98.00
22/03/2018,9,3,5495.21
22/03/2018,9,4,144.00
22/03/2018,9,5,71.99
22/03/2018,9,6,283.44
22/03/2018,9,7,0.69
22/03/2018,9,8,38.00
22/03/2018,9,9,133421.34
