fecha,codigosucursal,codigovariable,valor
07/04/2018,6,24,0.00
07/04/2018,6,25,0.00
07/04/2018,6,26,0.00
07/04/2018,6,27,0.00
07/04/2018,6,28,0.00
07/04/2018,6,29,0.00
07/04/2018,6,30,0.00
07/04/2018,6,31,0.00
07/04/2018,6,32,1.00
07/04/2018,6,33,0.00
07/04/2018,6,34,0.00
07/04/2018,6,35,0.00
07/04/2018,6,36,0.00
07/04/2018,6,37,0.00
07/04/2018,6,38,0.00
07/04/2018,6,39,0.00
07/04/2018,6,40,0.00
07/04/2018,7,1,248136.95
07/04/2018,7,2,33.00
07/04/2018,7,3,7519.30
07/04/2018,7,4,44.00
07/04/2018,7,5,57.70
07/04/2018,7,6,112.79
07/04/2018,7,7,0.44
07/04/2018,7,8,7.00
07/04/2018,7,9,22348.27
07/04/2018,7,10,1.00
07/04/2018,7,11,311.00
07/04/2018,7,12,174359.09
07/04/2018,7,13,9.77
07/04/2018,7,14,6706.12
07/04/2018,7,15,200869.28
07/04/2018,7,16,4.00
07/04/2018,7,17,13972.95
07/04/2018,7,18,0.01
07/04/2018,7,19,0.00
07/04/2018,7,20,0.00
07/04/2018,7,21,0.00
07/04/2018,7,22,1.00
07/04/2018,7,23,2.00
07/04/2018,7,24,6.00
07/04/2018,7,25,6.00
07/04/2018,7,26,0.00
07/04/2018,7,27,0.00
07/04/2018,7,28,0.00
07/04/2018,7,29,1.00
07/04/2018,7,30,1.00
07/04/2018,7,31,2.00
07/04/2018,7,32,0.00
07/04/2018,7,33,0.00
07/04/2018,7,34,0.00
07/04/2018,7,35,1.00
07/04/2018,7,36,0.00
07/04/2018,7,37,0.00
07/04/2018,7,38,4.00
07/04/2018,7,39,0.00
07/04/2018,7,40,0.00
07/04/2018,8,1,44565.03
07/04/2018,8,2,11.00
07/04/2018,8,3,4051.37
07/04/2018,8,4,14.00
07/04/2018,8,5,82.71
07/04/2018,8,6,55.71
07/04/2018,8,7,0.29
07/04/2018,8,8,2.00
07/04/2018,8,9,9399.46
07/04/2018,8,10,0.00
07/04/2018,8,11,73.00
07/04/2018,8,12,26990.62
07/04/2018,8,13,10.33
07/04/2018,8,14,8996.87
07/04/2018,8,15,29787.93
07/04/2018,8,16,1.00
07/04/2018,8,17,208.09
07/04/2018,8,18,0.01
07/04/2018,8,19,0.00
07/04/2018,8,20,0.00
07/04/2018,8,21,0.00
07/04/2018,8,22,0.00
07/04/2018,8,23,0.00
07/04/2018,8,24,0.00
07/04/2018,8,25,1.00
07/04/2018,8,26,1.00
07/04/2018,8,27,0.00
07/04/2018,8,28,0.00
07/04/2018,8,29,0.00
07/04/2018,8,30,0.00
07/04/2018,8,31,0.00
07/04/2018,8,32,0.00
07/04/2018,8,33,0.00
07/04/2018,8,34,1.00
07/04/2018,8,35,0.00
07/04/2018,8,36,1.00
07/04/2018,8,37,0.00
07/04/2018,8,38,0.00
07/04/2018,8,39,0.00
07/04/2018,8,40,0.00
07/04/2018,9,1,203001.23
07/04/2018,9,2,25.00
07/04/2018,9,3,8120.05
